report_no,name,maker,prdlst_type,report_date,chng_dt,category,ingredient_count,ingredients_json
20160555102370,145에너지 제로,농업회사법인(주)원광,음료베이스,2024-03-08,2024-10-25,zero,15,"[""정제수"", ""액상차"", ""알룰로오스"", ""구연산"", ""타우린"", ""과라나추출물분말"", ""사과향"", ""수크랄로스"", ""비타민C"", ""아세설팜칼륨"", ""식품첨가물혼합제제"", ""L-카르니틴"", ""L-아르기닌(기능성원료인정제2015-19호)"", ""효소처리스테비아"", ""녹차추출물""]"
2021016756933,181라운지 제로 바닐라빈시럽,(주)빈커스텀컴퍼니,당류가공품,2024-09-26,2024-09-29,zero,6,"[""에리스리톨"", ""효소처리스테비아"", ""알룰로오스"", ""소브산칼륨"", ""바닐라빈"", ""정제수""]"
2021016756929,181라운지 제로 바닐라시럽,(주)빈커스텀컴퍼니,당류가공품,2024-08-23,2024-08-27,zero,7,"[""에리스리톨"", ""효소처리스테비아"", ""알룰로오스"", ""정제수"", ""바닐라추출액"", ""바닐라향"", ""소브산칼륨""]"
2021016756932,181라운지 제로 헤이즐넛향시럽,(주)빈커스텀컴퍼니,당류가공품,2024-09-20,2024-10-08,zero,6,"[""에리스리톨"", ""효소처리스테비아"", ""알룰로오스"", ""소브산칼륨"", ""정제수"", ""헤이즐넛 향료""]"
20110355999141,1am 제로 아이스티 레몬,주식회사 황금유자,액상차,2022-04-01,2022-05-26,zero,10,"[""유자향"", ""정제수"", ""홍차추출분말"", ""레몬착즙액"", ""알룰로오스"", ""아세설팜칼륨"", ""스테비올배당체"", ""구연산(무수)"", ""구연산삼나트륨"", ""천연향료(Lemon)""]"
20110355999140,1am 제로 아이스티 복숭아,주식회사 황금유자,액상차,2022-04-01,2022-05-24,zero,10,"[""홍차추출분말"", ""복숭아농축액"", ""알룰로오스"", ""아세설팜칼륨"", ""스테비올배당체"", ""구연산(무수)"", ""DL-사과산"", ""정제수"", ""혼합제제"", ""혼합제제""]"
2023080310350,2.5분 뱅쇼 제로 티백,늘해찬,침출차,2024-10-23,2024-11-08,zero,3,"[""계피"", ""히비스커스꽃잎"", ""포도발효건조고형물""]"
20080614259906,44 밀크티 제로,(주)희창유업 제2공장,고형차,2024-02-29,2024-04-17,zero,15,"[""에리스리톨"", ""기타가공품"", ""식물성크림"", ""탈지분유"", ""홍차추출분말"", ""기타가공품"", ""카복시메틸셀룰로스나트륨"", ""그린커피빈추출물(기능성원료인정제2014-31호)"", ""정제소금"", ""효소처리스테비아"", ""이산화규소"", ""천연향료"", ""바나바잎추출물"", ""알룰로오스"", ""알룰로오스""]"
20140368660383,"7days 제로 곤약젤리, 복숭아맛",(주)자임에프앤비,캔디류,2024-05-03,2026-05-16,zero,8,"[""비타민C"", ""구연산"", ""수크랄로스"", ""과.채가공품"", ""정제수"", ""에리스리톨"", ""향료"", ""혼합제제""]"
20140368660439,"7days 제로 곤약젤리, 자두맛",(주)자임에프앤비,캔디류,2024-09-09,2026-05-16,zero,8,"[""혼합제제"", ""향료"", ""에리스리톨"", ""정제수"", ""비타민C"", ""자두농축액"", ""수크랄로스"", ""구연산""]"
20140368660384,"7days 제로 곤약젤리, 청포도맛",(주)자임에프앤비,캔디류,2024-05-03,2026-05-16,zero,8,"[""정제수"", ""에리스리톨"", ""향료"", ""혼합제제"", ""비타민C"", ""구연산"", ""수크랄로스"", ""청포도농축액""]"
19920624042884,815 사이다 제로,(주)상일,탄산음료,2022-06-06,2024-01-28,zero,15,"[""기타가공품"", ""L-카르니틴"", ""수크랄로스"", ""구연산삼나트륨"", ""젖산칼슘"", ""DL-사과산"", ""아세설팜칼륨"", ""염화칼륨"", ""정제소금"", ""과.채가공품"", ""구연산"", ""천연향료"", ""난소화성말토덱스트린(고시형)"", ""이산화탄소"", ""정제수""]"
