product_id,brand,clean_name,flavor,volume,pack_count,price,dup_count,product_line,full_name,maker,mall,category,naver_link,ingredients_json,nutrition_json,source,mfds_matched_name,mfds_report_no,match_score
85561194428,마이밀,마이밀 뉴프로틴,오리지널,190ml,30,34400,1,마이밀뉴프로틴,"마이밀 뉴프로틴 오리지널 단백질음료 190ml, 30개",,대상웰라이프 본사쇼핑몰,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/8016694105,"[""향료"", ""향료"", ""비타민혼합제제"", ""비타민D3혼합제제"", ""카라기난혼합제제"", ""카라기난"", ""비타민E"", ""산화아연"", ""아미노산혼합제제"", ""수크랄로스"", ""혼합제제"", ""정제소금"", ""탄산수소나트륨"", ""염화칼륨"", ""염화마그네슘"", ""탄산칼슘"", ""혼합제제"", ""초코향"", ""농축유단백"", ""코코아분말"", ""카제인칼슘"", ""분리대두단백"", ""채종유(유채유 또는 카놀라유)"", ""덱스트린"", ""백설탕"", ""정제수"", ""구연산칼륨""]",,naver_shop,마이밀 뉴프로틴 딥초코,2021045702815,0.761
89683781393,닥터유,오리온 닥터유프로 단백질드링크,,40g,,49900,3,오리온닥터유프로단백질드링크,정기구독 오리온 닥터유프로 단백질드링크 초코40g 350ml 헬스 음료 단백질 보충제,오리온,아신몰,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/12139270688,"[""기타가공품"", ""분리대두단백분말"", ""에리스리톨"", ""전지분유"", ""탈지분유분말"", ""분리유단백분말"", ""분리유단백분말"", ""유크림"", ""원유"", ""딸기과즙"", ""향료제제"", ""분리유단백분말"", ""정제수"", ""향료"", ""자당지방산에스테르"", ""L-카르니틴"", ""효소처리스테비아"", ""수크랄로스"", ""기타가공품"", ""젤란검"", ""토마토색소"", ""카복시메틸셀룰로스나트륨"", ""아세설팜칼륨"", ""정제소금"", ""탄산수소나트륨"", ""향료""]",,naver_shop,닥터유 프로 단백질 드링크 딸기,20200401439241,0.489
85568811018,일동후디스,하이뮨 액티브 단백질 음료 프로틴 밸런스,오리지널,250ml,18,26900,1,하이뮨액티브단백질음료프로틴밸런스,하이뮨 액티브 단백질 음료 프로틴 밸런스 250ml 18개 오리지널 마시는 드링크 밀크,일동후디스,티에스shop,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/8024310695,"[""정제소금"", ""식품첨가물"", ""식품첨가물혼합제제"", ""기타가공품"", ""식품첨가물"", ""식품첨가물"", ""난소화성말토덱스트린(고시형)"", ""해바라기유"", ""코코아분말"", ""땅콩 또는 견과류가공품"", ""땅콩버터"", ""식품첨가물"", ""식품첨가물"", ""두류가공품"", ""식품첨가물"", ""준초콜릿"", ""땅콩 또는 견과류가공품"", ""두류가공품"", ""기타가공품"", ""식품첨가물""]",,naver_shop,하이뮨 액티브 프로틴 바 너티초코,19910461077606,0.498
53507433963,빙그레,더단백 프로틴 드링크,초코,250ml,18,20850,1,더단백프로틴드링크,"더단백 프로틴 드링크 초코 , 250ml, 18개",,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53507433963,,,naver_shop,,,0.0
53509499639,뉴케어,대상 뉴케어 올프로틴,고소한,245ml,24,41320,1,대상뉴케어올프로틴,"대상 뉴케어 올프로틴 고소한맛, 245ml, 24개",대상,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509499639,,,naver_shop,,,0.3
53509044568,매일,매일유업 셀렉스 프로틴,오리지널,190ml,48,49590,1,매일유업셀렉스프로틴,"매일유업 셀렉스 프로틴 오리지널 , 190ml, 48개",매일유업,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509044568,,,naver_shop,,,0.2
59586392420,뉴케어,대상 뉴케어 올프로틴 식물성,고소한,250ml,24,34980,1,대상뉴케어올프로틴식물성,"대상 뉴케어 올프로틴 식물성 단백질 고소한맛, 250ml, 24개",대상,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/59586392420,,,naver_shop,,,0.251
85777298259,일동후디스,하이뮨 프로틴 밸런스 단백질 음료 마시는 드링크,,190ml,,59900,1,하이뮨프로틴밸런스단백질음료마시는드링크,하이뮨 프로틴 밸런스 단백질 음료 190ml 64팩 마시는 드링크,일동후디스,티에스shop,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/8232797936,"[""이집트콩분말"", ""수산화마그네슘"", ""글리세린지방산에스테르"", ""분리대두단백"", ""보리쌀가루"", ""완두단백"", ""귀리분말"", ""아미노산혼합제제"", ""잠두분말"", ""L-로이신"", ""탄산칼슘"", ""향료"", ""글리세린디아세틸주석산지방산에스테르"", ""혼합제제"", ""L-카르니틴"", ""혼합제제"", ""귀리분말"", ""삼씨앗분말"", ""쌀가루"", ""가는잎미선콩씨앗"", ""렌즈콩분말"", ""렌즈콩분말"", ""비타민C"", ""구운아몬드분말"", ""향료"", ""향료"", ""정제소금"", ""수크랄로스"", ""젤란검"", ""산화아연"", ""아세설팜칼륨"", ""인산철"", ""정제수""]",,naver_shop,하이뮨 프로틴 밸런스 액티브 비건 단백질,20080380239208,0.567
86820091501,서울우유,서울우유 프로틴 에너지,초코,240ml,,34000,3,서울우유프로틴에너지,서울우유 프로틴 에너지 초코 240ml x 18팩,서울우유,서울우유공식몰,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/9275591178,,,naver_shop,,,0.353
53509502919,연세우유,연세우유 세브란스 A2 프로틴,오리지널,190ml,16,15400,1,연세우유세브란스a2프로틴,"연세우유 세브란스 A2 프로틴 오리지널 , 190ml, 16개",연세우유,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509502919,,,naver_shop,,,0.357
