product_id,brand,clean_name,flavor,volume,pack_count,price,dup_count,product_line,full_name,maker,mall,category,naver_link,ingredients_json,nutrition_json,source,mfds_matched_name,mfds_report_no,match_score
53873138672,펩시제로슈거,롯데칠성음료 펩시제로슈거,라임,500ml,20,11140,5,롯데칠성음료펩시제로슈거,"롯데칠성음료 펩시제로슈거 라임향 , 500ml, 20개",롯데칠성음료,네이버,청량/탄산음료 > 콜라,https://search.shopping.naver.com/catalog/53873138672,"[""혼합제제"", ""혼합제제"", ""구연산삼나트륨"", ""구연산(무수)"", ""아스파탐"", ""아세설팜칼륨"", ""수크랄로스"", ""이산화탄소"", ""정제수""]",,naver_shop,펩시제로슈거,19930242053473,0.6
53880178191,코카콜라,코카콜라 제로,,190ml,30,14300,2,코카콜라제로,"코카콜라 제로, 190ml, 30개",코카콜라,네이버,청량/탄산음료 > 콜라,https://search.shopping.naver.com/catalog/53880178191,"[""이산화탄소"", ""향료"", ""식품첨가물혼합제제"", ""식품첨가물혼합제제"", ""정제수"", ""식품첨가물혼합제제""]",,naver_shop,코카콜라 제로,19800375002112,1.0
58997188920,비타500,삼양패키징 비타500 이온킥 제로,,500ml,24,20160,1,삼양패키징비타500이온킥제로,"삼양패키징 비타500 이온킥 제로 이온음료 500ml, 24개",삼양패키징,네이버,청량/탄산음료 > 이온음료,https://search.shopping.naver.com/catalog/58997188920,,,naver_shop,,,0.4
53901124701,나랑드사이다,동아오츠카 나랑드사이다 제로,,345ml,24,8400,2,동아오츠카나랑드사이다제로,"동아오츠카 나랑드사이다 제로 , 345ml, 24개",동아오츠카,네이버,청량/탄산음료 > 사이다,https://search.shopping.naver.com/catalog/53901124701,"[""향료"", ""향료"", ""향료"", ""알룰로오스"", ""이산화탄소"", ""정제수"", ""DL-사과산"", ""향료"", ""향료"", ""향료"", ""향료"", ""난소화성말토덱스트린(고시형)"", ""과.채가공품"", ""구연산"", ""구연산삼나트륨"", ""정제소금"", ""염화칼륨"", ""젖산칼슘"", ""아세설팜칼륨"", ""수크랄로스""]",,naver_shop,나랑드사이다 제로 그린애플,201005430661374,0.584
53733319458,칠성사이다제로,롯데칠성음료 칠성사이다제로 칠성 사이다 제로,,500ml,20,15300,1,롯데칠성음료칠성사이다제로칠성사이다제로,"롯데칠성음료 칠성사이다제로 칠성 사이다 제로, 500ml, 20개",롯데칠성음료,네이버,청량/탄산음료 > 사이다,https://search.shopping.naver.com/catalog/53733319458,,,naver_shop,,,0.391
53786232574,스프라이트,코카콜라 스프라이트,,300ml,24,14800,1,코카콜라스프라이트,"코카콜라 스프라이트  300ml, 24개",코카콜라,네이버,청량/탄산음료 > 사이다,https://search.shopping.naver.com/catalog/53786232574,"[""정제수"", ""당시럽"", ""식품첨가물혼합제제"", ""향료"", ""이산화탄소""]",,naver_shop,스프라이트,1980037500220,0.629
58078559996,파워에이드,코카콜라 파워에이드 제로,,355ml,20,12100,2,코카콜라파워에이드제로,"코카콜라 파워에이드 제로 무라벨 이온음료 355ml, 20개",코카콜라,네이버,청량/탄산음료 > 이온음료,https://search.shopping.naver.com/catalog/58078559996,,,naver_shop,,,0.4
53647415349,토레타,코카콜라 토레타 제로,,500ml,24,12050,1,코카콜라토레타제로,"코카콜라 토레타 제로 500ml, 24개",코카콜라,네이버,청량/탄산음료 > 이온음료,https://search.shopping.naver.com/catalog/53647415349,"[""식품첨가물혼합제제"", ""과.채가공품"", ""음료베이스"", ""정제수"", ""향료제제"", ""식품첨가물혼합제제"", ""향료"", ""식품첨가물혼합제제""]",,naver_shop,토레타! 제로,19980449002737,0.5
53688320601,나랑드사이다,동아오츠카 나랑드사이다 제로,파인애플,500ml,24,15000,1,동아오츠카나랑드사이다제로,"동아오츠카 나랑드사이다 제로 파인애플 , 500ml, 24개",동아오츠카,네이버,청량/탄산음료 > 사이다,https://search.shopping.naver.com/catalog/53688320601,"[""향료"", ""향료"", ""향료"", ""알룰로오스"", ""이산화탄소"", ""정제수"", ""DL-사과산"", ""향료"", ""향료"", ""향료"", ""향료"", ""난소화성말토덱스트린(고시형)"", ""과.채가공품"", ""구연산"", ""구연산삼나트륨"", ""정제소금"", ""염화칼륨"", ""젖산칼슘"", ""아세설팜칼륨"", ""수크랄로스""]",,naver_shop,나랑드사이다 제로 그린애플,201005430661374,0.584
53877396088,일화,일화 맥콜 제로,,1.5l,12,13200,2,일화맥콜제로,"일화 맥콜 제로 , 1.5L, 12개",일화,네이버,청량/탄산음료 > 콜라,https://search.shopping.naver.com/catalog/53877396088,,,naver_shop,,,0.318
80498931990,코카콜라,코카콜라 제로콜라,,190ml,6,19900,1,코카콜라제로콜라,코카콜라 제로콜라 탄산음료 190ml 4캔 355ml 12캔 500ml 6개 총22개,코카콜라,글로리마켓,청량/탄산음료 > 콜라,https://smartstore.naver.com/main/products/3001187989,"[""이산화탄소"", ""향료"", ""식품첨가물혼합제제"", ""식품첨가물혼합제제"", ""정제수"", ""식품첨가물혼합제제""]",,naver_shop,코카콜라 제로,19800375002112,0.648
52819671167,초록매실,웅진식품 초록매실 스파클링 제로,,350ml,20,10630,1,웅진식품초록매실스파클링제로,"웅진식품 초록매실 스파클링 제로, 350ml, 20개",웅진식품,네이버,청량/탄산음료 > 과즙탄산음료,https://search.shopping.naver.com/catalog/52819671167,"[""기타가공품"", ""정제수"", ""에리스리톨"", ""이산화탄소"", ""매실농축액"", ""구연산"", ""향료"", ""향료"", ""향료"", ""카라멜색소 Ⅲ"", ""구연산삼나트륨"", ""아세설팜칼륨"", ""비타민C"", ""수크랄로스"", ""스테비올배당체""]",,naver_shop,초록매실 스파클링 제로,19960458039718,0.8
53647396526,게토레이,롯데칠성음료 게토레이 제로,,600ml,24,20690,1,롯데칠성음료게토레이제로,"롯데칠성음료 게토레이 제로 , 600ml, 24개",롯데칠성음료,네이버,청량/탄산음료 > 이온음료,https://search.shopping.naver.com/catalog/53647396526,,,naver_shop,,,0.4
86012715823,펩시제로슈거,펩시제로 슈거,라임,250ml,2,13900,15,펩시제로슈거,펩시제로 슈거 라임향 제로콜라 250ml 355ml 500ml 1.5L 8입 각2개씩,롯데칠성음료,막스몰,청량/탄산음료 > 콜라,https://smartstore.naver.com/main/products/8468215500,"[""혼합제제"", ""혼합제제"", ""구연산삼나트륨"", ""구연산(무수)"", ""아스파탐"", ""아세설팜칼륨"", ""수크랄로스"", ""이산화탄소"", ""정제수""]",,naver_shop,펩시제로슈거,19930242053473,0.6
53875775596,코카콜라,코카콜라 제로 슈거 제로 카페인,,190ml,30,11990,1,코카콜라제로슈거제로카페인,"코카콜라 제로 슈거 제로 카페인 , 190ml, 30개",코카콜라,네이버,청량/탄산음료 > 콜라,https://search.shopping.naver.com/catalog/53875775596,"[""이산화탄소"", ""향료"", ""식품첨가물혼합제제"", ""식품첨가물혼합제제"", ""정제수"", ""식품첨가물혼합제제""]",,naver_shop,코카콜라 제로,19800375002112,0.579
53646883282,이온더핏,웅진식품 이온더핏 제로,,500ml,24,16690,1,웅진식품이온더핏제로,"웅진식품 이온더핏 제로 , 500ml, 24개",웅진식품,네이버,청량/탄산음료 > 이온음료,https://search.shopping.naver.com/catalog/53646883282,"[""혼합제제"", ""향료"", ""젖산칼슘"", ""L-카르니틴"", ""염화칼륨"", ""구연산삼나트륨"", ""향료"", ""향료"", ""정제소금"", ""구연산"", ""정제수"", ""비타민C"", ""스테비올배당체"", ""염화마그네슘"", ""수크랄로스""]",,naver_shop,이온더핏 제로,19960458039621,0.717
91008885009,까스활,동화약품 부채표 소다활 제로탄산소화음료,매실,500ml,24,24700,1,동화약품부채표소다활제로탄산소화음료,"동화약품 부채표 소다활 제로탄산소화음료 매실향 까스활농축액함유 24개입 500ml, 1개",,동화약품 헬스케어,청량/탄산음료 > 과즙탄산음료,https://smartstore.naver.com/main/products/13464374657,,,naver_shop,,,0.05
56454014884,광동,오케이에프 광동 썬키스트 애사비 제로 스파클링,,350ml,24,19900,1,오케이에프광동썬키스트애사비제로스파클링,"오케이에프 광동 썬키스트 애사비 제로 스파클링, 350ml, 24개",오케이에프,네이버,청량/탄산음료 > 과즙탄산음료,https://search.shopping.naver.com/catalog/56454014884,,,naver_shop,,,0.181
91187512164,코카콜라,코카-콜라 제로 레몬라임 CAN,,190ml,30,17280,1,코카-콜라제로레몬라임can,[사전예약] 코카-콜라 제로 레몬라임 CAN 190ml 30개,코카콜라,코카콜라직영몰,청량/탄산음료 > 콜라,https://smartstore.naver.com/main/products/13643001452,"[""향료"", ""이산화탄소"", ""식품첨가물혼합제제"", ""식품첨가물혼합제제"", ""정제수"", ""식품첨가물혼합제제"", ""식품첨가물혼합제제""]",,naver_shop,코카-콜라 제로 레몬라임,19970614083175,0.828
53688330407,나랑드사이다,동아오츠카 나랑드사이다 제로 그린애플,,500ml,24,14390,1,동아오츠카나랑드사이다제로그린애플,"동아오츠카 나랑드사이다 제로 그린애플 , 500ml, 24개",동아오츠카,네이버,청량/탄산음료 > 사이다,https://search.shopping.naver.com/catalog/53688330407,"[""향료"", ""향료"", ""향료"", ""알룰로오스"", ""이산화탄소"", ""정제수"", ""DL-사과산"", ""향료"", ""향료"", ""향료"", ""향료"", ""난소화성말토덱스트린(고시형)"", ""과.채가공품"", ""구연산"", ""구연산삼나트륨"", ""정제소금"", ""염화칼륨"", ""젖산칼슘"", ""아세설팜칼륨"", ""수크랄로스""]",,naver_shop,나랑드사이다 제로 그린애플,201005430661374,0.797
